
------------------------------
133.000000: Site DOWN --> site_22
WEWTYY, 74, 0,99.9
WEWU1F, 74, 99.9,199.8
WEWTV1, 74, 199.8,299.7
WEWTQE, 74, 299.7,382.95

Site_Down_2, 58, 0,450

Site_Down_3, 78, 0,450

Site_no_labor, 32, 0,450

WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWT27, 83, 283.05,366.3
WEWU8L, 83, 366.3,432.9

WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25

WEWTJM, 22, 0,99.9
WEWTQW, 22, 99.9,199.8
Site Down, 22, 133,-1

Site_Main_1, 82, 0,450

WEWTN0, 76, 0,99.9
WEWTQG, 76, 99.9,199.8
WEWTHE, 76, 199.8,299.7
WEWTQB, 76, 299.7,382.95
WEWU84, 76, 382.95,432.9

Site_Down_1, 30, 0,450

WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWTR6, 88, 199.8,283.05
WEWTWX, 88, 283.05,366.3
WEWUA0, 88, 366.3,432.9

Site_no_labor, 75, 0,450

WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTXX, 87, 283.05,366.3
WEWU7X, 87, 366.3,432.9

WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTVA, 40, 266.4,382.95

Site_no_labor, 86, 0,450

WEWUDU, 73, 0,66.6
WEWTNZ, 73, 66.6,133.2
WEWTYW, 73, 133.2,199.8
WEWTHK, 73, 199.8,299.7
WEWTQ9, 73, 299.7,366.3
WEWU8T, 73, 366.3,432.9

WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU7W, 26, 366.3,432.9

WEWR8H, 34, 0,99.9
WEWTY2, 34, 99.9,199.8
WEWTQP, 34, 199.8,299.7
WEWQZ7, 34, 299.7,366.3
WEWU82, 34, 366.3,432.9

WEWTQJ, 81, 0,99.9
WEWTQU, 81, 99.9,199.8
WEWT2G, 81, 199.8,283.05
WEWTR5, 81, 283.05,366.3
WEWUA1, 81, 366.3,432.9

WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25

WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWTRD, 72, 199.8,283.05
WEWTR9, 72, 283.05,382.95
WEWU8V, 72, 382.95,432.9

WEWRPA, 24, 0,166.5
WEWTNM, 24, 166.5,266.4
WEWTU5, 24, 266.4,399.6

WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWR9L, 70, 199.8,283.05
WEWRZK, 70, 283.05,382.95

WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWN1N, 89, 199.8,266.4
WEWTRF, 89, 266.4,366.3
WEWU9Q, 89, 366.3,432.9

Site_no_labor, 85, 0,450

 hours filled: 114

------------------------------
137.000000: Added test WEWRKP to the queue and rescheduled
Site_no_labor, 85, 0,450

WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWN1N, 89, 199.8,266.4
WEWTR9, 89, 266.4,366.3
WEWU8M, 89, 366.3,432.9

WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWR9L, 70, 199.8,283.05
WEWRZK, 70, 283.05,382.95

WEWRPA, 24, 0,166.5
WEWTNM, 24, 166.5,266.4
WEWTU5, 24, 266.4,399.6

WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWTR6, 72, 199.8,283.05
WEWTRF, 72, 283.05,382.95
WEWU8V, 72, 382.95,432.9

WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25

WEWR8H, 34, 0,99.9
WEWTY2, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWTQ9, 34, 299.7,366.3
WEWU7X, 34, 366.3,432.9

WEWTQJ, 81, 0,99.9
WEWTQU, 81, 99.9,199.8
WEWT2G, 81, 199.8,283.05
WEWT27, 81, 283.05,366.3
WEWUA1, 81, 366.3,432.9

WEWUDU, 73, 0,66.6
WEWTNZ, 73, 66.6,133.2
WEWTYW, 73, 133.2,199.8
WEWTQP, 73, 199.8,299.7
WEWQZ7, 73, 299.7,366.3
WEWU8T, 73, 366.3,432.9

WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU8L, 26, 366.3,432.9

Site_no_labor, 86, 0,450

WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTQE, 87, 283.05,366.3
WEWU9Q, 87, 366.3,432.9

WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTVA, 40, 266.4,382.95

Site_no_labor, 75, 0,450

WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWTRD, 88, 199.8,283.05
WEWTWX, 88, 283.05,366.3
WEWU9N, 88, 366.3,432.9

Site_Down_1, 30, 0,450

WEWTN0, 76, 0,99.9
WEWTQG, 76, 99.9,199.8
WEWTV1, 76, 199.8,299.7
WEWTXX, 76, 299.7,382.95
WEWU84, 76, 382.95,432.9

Site_Main_1, 82, 0,450

WEWTJM, 22, 0,99.9
WEWTQW, 22, 99.9,199.8
Site Down, 22, 133,-1

WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25

WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWRKP, 83, 183.15,183.15
WEWTUM, 83, 183.15,283.05
